"filename", "language", "C++", "Markdown", "YAML", "JSON", "HTML", "Swift", "XML", "Dart", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\encryption\encryption_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 14, 43
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\encryption\hash_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\encryption\verify_auth.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 7, 22
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\folder_query\create_folder.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 14, 56
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\folder_query\delete_folder.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 8, 29
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\folder_query\folder_data_retriever.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 36, 131
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\folder_query\folder_name_retriever.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 10, 31
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\folder_query\rename_folder.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 9, 36
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\folder_query\save_folder.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 34, 119
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\global\global_table.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\global\globals.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 27, 156
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\call_notification.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 11, 64
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\call_preview_file_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 10, 41
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\call_toast.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\date_parser.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 12, 29
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\date_short_form.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\external_app.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 15, 45
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\generate_thumbnail.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 12, 39
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\get_assets.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 23
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\navigate_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 32, 208
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\random_generator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\scanner_pdf.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 12, 42
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\shorten_text.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\helper\simplify_download.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 28, 86
